timezero,location,target,value
20100725,US National,1 wk ahead,0.83383039484759
20100725,US National,2 wk ahead,0.84743654281564
20100725,US National,3 wk ahead,0.88827326926098
20100725,US National,4 wk ahead,0.76537228790335
20100725,US National,Season peak percentage,4.55159
20100725,US National,Season peak week,20110130
20100725,US National,Season onset,20101219
20100801,US National,1 wk ahead,0.84743654281564
20100801,US National,2 wk ahead,0.88827326926098
20100801,US National,3 wk ahead,0.76537228790335
20100801,US National,4 wk ahead,0.91858044292525
20100801,US National,Season peak percentage,4.55159
20100801,US National,Season peak week,20110130
20100801,US National,Season onset,20101219
20100808,US National,1 wk ahead,0.88827326926098
20100808,US National,2 wk ahead,0.76537228790335
20100808,US National,3 wk ahead,0.91858044292525
20100808,US National,4 wk ahead,1.0143178718484
20100808,US National,Season peak percentage,4.55159
20100808,US National,Season peak week,20110130
20100808,US National,Season onset,20101219
20100815,US National,1 wk ahead,0.76537228790335
20100815,US National,2 wk ahead,0.91858044292525
20100815,US National,3 wk ahead,1.0143178718484
20100815,US National,4 wk ahead,1.0123256123389
20100815,US National,Season peak percentage,4.55159
20100815,US National,Season peak week,20110130
20100815,US National,Season onset,20101219
20100822,US National,1 wk ahead,0.91858044292525
20100822,US National,2 wk ahead,1.0143178718484
20100822,US National,3 wk ahead,1.0123256123389
20100822,US National,4 wk ahead,1.1180328172565
20100822,US National,Season peak percentage,4.55159
20100822,US National,Season peak week,20110130
20100822,US National,Season onset,20101219
20100829,US National,1 wk ahead,1.0143178718484
20100829,US National,2 wk ahead,1.0123256123389
20100829,US National,3 wk ahead,1.1180328172565
20100829,US National,4 wk ahead,1.1180594218477
20100829,US National,Season peak percentage,4.55159
20100829,US National,Season peak week,20110130
20100829,US National,Season onset,20101219
20100905,US National,1 wk ahead,1.0123256123389
20100905,US National,2 wk ahead,1.1180328172565
20100905,US National,3 wk ahead,1.1180594218477
20100905,US National,4 wk ahead,1.10939
20100905,US National,Season peak percentage,4.55159
20100905,US National,Season peak week,20110130
