timezero,unit,target,value
2010-07-26,US National,1 wk ahead,0.83383039484759
2010-07-26,US National,2 wk ahead,0.84743654281564
2010-07-26,US National,3 wk ahead,0.88827326926098
2010-07-26,US National,4 wk ahead,0.76537228790335
2010-07-26,US National,Season peak percentage,4.55159
2010-07-26,US National,Season peak week,2011-01-31
2010-07-26,US National,Season onset,2010-12-20
2010-08-02,US National,1 wk ahead,0.84743654281564
2010-08-02,US National,2 wk ahead,0.88827326926098
2010-08-02,US National,3 wk ahead,0.76537228790335
2010-08-02,US National,4 wk ahead,0.91858044292525
2010-08-02,US National,Season peak percentage,4.55159
2010-08-02,US National,Season peak week,2011-01-31
2010-08-02,US National,Season onset,2010-12-20
2010-08-09,US National,1 wk ahead,0.88827326926098
2010-08-09,US National,2 wk ahead,0.76537228790335
2010-08-09,US National,3 wk ahead,0.91858044292525
2010-08-09,US National,4 wk ahead,1.0143178718484
2010-08-09,US National,Season peak percentage,4.55159
2010-08-09,US National,Season peak week,2011-01-31
2010-08-09,US National,Season onset,2010-12-20
2010-08-16,US National,1 wk ahead,0.76537228790335
2010-08-16,US National,2 wk ahead,0.91858044292525
2010-08-16,US National,3 wk ahead,1.0143178718484
2010-08-16,US National,4 wk ahead,1.0123256123389
2010-08-16,US National,Season peak percentage,4.55159
2010-08-16,US National,Season peak week,2011-01-31
2010-08-16,US National,Season onset,2010-12-20
2010-08-23,US National,1 wk ahead,0.91858044292525
2010-08-23,US National,2 wk ahead,1.0143178718484
2010-08-23,US National,3 wk ahead,1.0123256123389
2010-08-23,US National,4 wk ahead,1.1180328172565
2010-08-23,US National,Season peak percentage,4.55159
2010-08-23,US National,Season peak week,2011-01-31
2010-08-23,US National,Season onset,2010-12-20
2010-08-30,US National,1 wk ahead,1.0143178718484
2010-08-30,US National,2 wk ahead,1.0123256123389
2010-08-30,US National,3 wk ahead,1.1180328172565
2010-08-30,US National,4 wk ahead,1.1180594218477
2010-08-30,US National,Season peak percentage,4.55159
2010-08-30,US National,Season peak week,2011-01-31
2010-08-30,US National,Season onset,2010-12-20
2010-09-06,US National,1 wk ahead,1.0123256123389
2010-09-06,US National,2 wk ahead,1.1180328172565
2010-09-06,US National,3 wk ahead,1.1180594218477
2010-09-06,US National,4 wk ahead,1.10939
2010-09-06,US National,Season peak percentage,4.55159
2010-09-06,US National,Season peak week,2011-01-31
2010-09-06,US National,Season onset,2010-12-20
2010-09-13,US National,1 wk ahead,1.1180328172565
2010-09-13,US National,2 wk ahead,1.1180594218477
2010-09-13,US National,3 wk ahead,1.10939
2010-09-13,US National,4 wk ahead,1.24341
2010-09-13,US National,Season peak percentage,4.55159
2010-09-13,US National,Season peak week,2011-01-31
2010-09-13,US National,Season onset,2010-12-20
2010-09-20,US National,1 wk ahead,1.1180594218477
2010-09-20,US National,2 wk ahead,1.10939
2010-09-20,US National,3 wk ahead,1.24341
2010-09-20,US National,4 wk ahead,1.25726
2010-09-20,US National,Season peak percentage,4.55159
2010-09-20,US National,Season peak week,2011-01-31
2010-09-20,US National,Season onset,2010-12-20
2010-09-27,US National,1 wk ahead,1.10939
2010-09-27,US National,2 wk ahead,1.24341
2010-09-27,US National,3 wk ahead,1.25726
2010-09-27,US National,4 wk ahead,1.25734
2010-09-27,US National,Season peak percentage,4.55159
2010-09-27,US National,Season peak week,2011-01-31
2010-09-27,US National,Season onset,2010-12-20
2010-10-04,US National,1 wk ahead,1.24341
2010-10-04,US National,2 wk ahead,1.25726
2010-10-04,US National,3 wk ahead,1.25734
2010-10-04,US National,4 wk ahead,1.43414
2010-10-04,US National,Season peak percentage,4.55159
2010-10-04,US National,Season peak week,2011-01-31
2010-10-04,US National,Season onset,2010-12-20
2010-10-11,US National,1 wk ahead,1.25726
2010-10-11,US National,2 wk ahead,1.25734
2010-10-11,US National,3 wk ahead,1.43414
2010-10-11,US National,4 wk ahead,1.51838
2010-10-11,US National,Season peak percentage,4.55159
2010-10-11,US National,Season peak week,2011-01-31
2010-10-11,US National,Season onset,2010-12-20
2010-10-18,US National,1 wk ahead,1.25734
2010-10-18,US National,2 wk ahead,1.43414
2010-10-18,US National,3 wk ahead,1.51838
2010-10-18,US National,4 wk ahead,1.61617
2010-10-18,US National,Season peak percentage,4.55159
2010-10-18,US National,Season peak week,2011-01-31
2010-10-18,US National,Season onset,2010-12-20
2010-10-25,US National,1 wk ahead,1.43414
2010-10-25,US National,2 wk ahead,1.51838
2010-10-25,US National,3 wk ahead,1.61617
2010-10-25,US National,4 wk ahead,1.84378
2010-10-25,US National,Season peak percentage,4.55159
2010-10-25,US National,Season peak week,2011-01-31
2010-10-25,US National,Season onset,2010-12-20
2010-11-01,US National,1 wk ahead,1.51838
2010-11-01,US National,2 wk ahead,1.61617
2010-11-01,US National,3 wk ahead,1.84378
2010-11-01,US National,4 wk ahead,1.72535
2010-11-01,US National,Season peak percentage,4.55159
2010-11-01,US National,Season peak week,2011-01-31
2010-11-01,US National,Season onset,2010-12-20
2010-11-08,US National,1 wk ahead,1.61617
2010-11-08,US National,2 wk ahead,1.84378
2010-11-08,US National,3 wk ahead,1.72535
2010-11-08,US National,4 wk ahead,1.87923
2010-11-08,US National,Season peak percentage,4.55159
2010-11-08,US National,Season peak week,2011-01-31
2010-11-08,US National,Season onset,2010-12-20
2010-11-15,US National,1 wk ahead,1.84378
2010-11-15,US National,2 wk ahead,1.72535
2010-11-15,US National,3 wk ahead,1.87923
2010-11-15,US National,4 wk ahead,2.3371
2010-11-15,US National,Season peak percentage,4.55159
2010-11-15,US National,Season peak week,2011-01-31
2010-11-15,US National,Season onset,2010-12-20
2010-11-22,US National,1 wk ahead,1.72535
2010-11-22,US National,2 wk ahead,1.87923
2010-11-22,US National,3 wk ahead,2.3371
2010-11-22,US National,4 wk ahead,3.03533
2010-11-22,US National,Season peak percentage,4.55159
2010-11-22,US National,Season peak week,2011-01-31
2010-11-22,US National,Season onset,2010-12-20
2010-11-29,US National,1 wk ahead,1.87923
2010-11-29,US National,2 wk ahead,2.3371
2010-11-29,US National,3 wk ahead,3.03533
2010-11-29,US National,4 wk ahead,3.136
2010-11-29,US National,Season peak percentage,4.55159
2010-11-29,US National,Season peak week,2011-01-31
2010-11-29,US National,Season onset,2010-12-20
2010-12-06,US National,1 wk ahead,2.3371
2010-12-06,US National,2 wk ahead,3.03533
2010-12-06,US National,3 wk ahead,3.136
2010-12-06,US National,4 wk ahead,2.53336
2010-12-06,US National,Season peak percentage,4.55159
2010-12-06,US National,Season peak week,2011-01-31
2010-12-06,US National,Season onset,2010-12-20
2010-12-13,US National,1 wk ahead,3.03533
2010-12-13,US National,2 wk ahead,3.136
2010-12-13,US National,3 wk ahead,2.53336
2010-12-13,US National,4 wk ahead,2.91288
2010-12-13,US National,Season peak percentage,4.55159
2010-12-13,US National,Season peak week,2011-01-31
2010-12-13,US National,Season onset,2010-12-20
2010-12-20,US National,1 wk ahead,3.136
2010-12-20,US National,2 wk ahead,2.53336
2010-12-20,US National,3 wk ahead,2.91288
2010-12-20,US National,4 wk ahead,3.44497
2010-12-20,US National,Season peak percentage,4.55159
2010-12-20,US National,Season peak week,2011-01-31
2010-12-20,US National,Season onset,2010-12-20
2010-12-27,US National,1 wk ahead,2.53336
2010-12-27,US National,2 wk ahead,2.91288
2010-12-27,US National,3 wk ahead,3.44497
2010-12-27,US National,4 wk ahead,4.16185
2010-12-27,US National,Season peak percentage,4.55159
2010-12-27,US National,Season peak week,2011-01-31
2010-12-27,US National,Season onset,2010-12-20
2011-01-03,US National,1 wk ahead,2.91288
2011-01-03,US National,2 wk ahead,3.44497
2011-01-03,US National,3 wk ahead,4.16185
2011-01-03,US National,4 wk ahead,4.55159
2011-01-03,US National,Season peak percentage,4.55159
2011-01-03,US National,Season peak week,2011-01-31
2011-01-03,US National,Season onset,2010-12-20
2011-01-10,US National,1 wk ahead,3.44497
2011-01-10,US National,2 wk ahead,4.16185
2011-01-10,US National,3 wk ahead,4.55159
2011-01-10,US National,4 wk ahead,4.46504
2011-01-10,US National,Season peak percentage,4.55159
2011-01-10,US National,Season peak week,2011-01-31
2011-01-10,US National,Season onset,2010-12-20
2011-01-17,US National,1 wk ahead,4.16185
2011-01-17,US National,2 wk ahead,4.55159
