timezero,unit,target,value
2016-07-24,US National,1 wk ahead,0.663501
2016-07-24,US National,2 wk ahead,0.69276
2016-07-24,US National,3 wk ahead,0.710029
2016-07-24,US National,4 wk ahead,0.834232
2016-07-24,US National,Season peak percentage,5.06094
2016-07-24,US National,Season peak week,2017-02-05
2016-07-24,US National,Season onset,2016-12-11
2016-07-31,US National,1 wk ahead,0.69276
2016-07-31,US National,2 wk ahead,0.710029
2016-07-31,US National,3 wk ahead,0.834232
2016-07-31,US National,4 wk ahead,0.992621
2016-07-31,US National,Season peak percentage,5.06094
2016-07-31,US National,Season peak week,2017-02-05
2016-07-31,US National,Season onset,2016-12-11
2016-08-07,US National,1 wk ahead,0.710029
2016-08-07,US National,2 wk ahead,0.834232
2016-08-07,US National,3 wk ahead,0.992621
2016-08-07,US National,4 wk ahead,1.01605
2016-08-07,US National,Season peak percentage,5.06094
2016-08-07,US National,Season peak week,2017-02-05
2016-08-07,US National,Season onset,2016-12-11
2016-08-14,US National,1 wk ahead,0.834232
2016-08-14,US National,2 wk ahead,0.992621
2016-08-14,US National,3 wk ahead,1.01605
2016-08-14,US National,4 wk ahead,1.07169
2016-08-14,US National,Season peak percentage,5.06094
2016-08-14,US National,Season peak week,2017-02-05
2016-08-14,US National,Season onset,2016-12-11
2016-08-21,US National,1 wk ahead,0.992621
2016-08-21,US National,2 wk ahead,1.01605
2016-08-21,US National,3 wk ahead,1.07169
2016-08-21,US National,4 wk ahead,1.10163
2016-08-21,US National,Season peak percentage,5.06094
2016-08-21,US National,Season peak week,2017-02-05
2016-08-21,US National,Season onset,2016-12-11
2016-08-28,US National,1 wk ahead,1.01605
2016-08-28,US National,2 wk ahead,1.07169
2016-08-28,US National,3 wk ahead,1.10163
2016-08-28,US National,4 wk ahead,1.18841
2016-08-28,US National,Season peak percentage,5.06094
2016-08-28,US National,Season peak week,2017-02-05
2016-08-28,US National,Season onset,2016-12-11
2016-09-04,US National,1 wk ahead,1.07169
2016-09-04,US National,2 wk ahead,1.10163
2016-09-04,US National,3 wk ahead,1.18841
2016-09-04,US National,4 wk ahead,1.19763
2016-09-04,US National,Season peak percentage,5.06094
2016-09-04,US National,Season peak week,2017-02-05
2016-09-04,US National,Season onset,2016-12-11
2016-09-11,US National,1 wk ahead,1.10163
2016-09-11,US National,2 wk ahead,1.18841
2016-09-11,US National,3 wk ahead,1.19763
2016-09-11,US National,4 wk ahead,1.22887
2016-09-11,US National,Season peak percentage,5.06094
2016-09-11,US National,Season peak week,2017-02-05
2016-09-11,US National,Season onset,2016-12-11
2016-09-18,US National,1 wk ahead,1.18841
2016-09-18,US National,2 wk ahead,1.19763
2016-09-18,US National,3 wk ahead,1.22887
2016-09-18,US National,4 wk ahead,1.26723
2016-09-18,US National,Season peak percentage,5.06094
2016-09-18,US National,Season peak week,2017-02-05
2016-09-18,US National,Season onset,2016-12-11
2016-09-25,US National,1 wk ahead,1.19763
2016-09-25,US National,2 wk ahead,1.22887
2016-09-25,US National,3 wk ahead,1.26723
2016-09-25,US National,4 wk ahead,1.36226
2016-09-25,US National,Season peak percentage,5.06094
2016-09-25,US National,Season peak week,2017-02-05
2016-09-25,US National,Season onset,2016-12-11
2016-10-02,US National,1 wk ahead,1.22887
2016-10-02,US National,2 wk ahead,1.26723
2016-10-02,US National,3 wk ahead,1.36226
2016-10-02,US National,4 wk ahead,1.48468
2016-10-02,US National,Season peak percentage,5.06094
2016-10-02,US National,Season peak week,2017-02-05
2016-10-02,US National,Season onset,2016-12-11
2016-10-09,US National,1 wk ahead,1.26723
2016-10-09,US National,2 wk ahead,1.36226
2016-10-09,US National,3 wk ahead,1.48468
2016-10-09,US National,4 wk ahead,1.55838
2016-10-09,US National,Season peak percentage,5.06094
2016-10-09,US National,Season peak week,2017-02-05
2016-10-09,US National,Season onset,2016-12-11
2016-10-16,US National,1 wk ahead,1.36226
2016-10-16,US National,2 wk ahead,1.48468
2016-10-16,US National,3 wk ahead,1.55838
2016-10-16,US National,4 wk ahead,1.64639
2016-10-16,US National,Season peak percentage,5.06094
2016-10-16,US National,Season peak week,2017-02-05
2016-10-16,US National,Season onset,2016-12-11
2016-10-23,US National,1 wk ahead,1.48468
2016-10-23,US National,2 wk ahead,1.55838
2016-10-23,US National,3 wk ahead,1.64639
2016-10-23,US National,4 wk ahead,1.91196
2016-10-23,US National,Season peak percentage,5.06094
2016-10-23,US National,Season peak week,2017-02-05
2016-10-23,US National,Season onset,2016-12-11
2016-10-30,US National,1 wk ahead,1.55838
2016-10-30,US National,2 wk ahead,1.64639
2016-10-30,US National,3 wk ahead,1.91196
2016-10-30,US National,4 wk ahead,1.81129
2016-10-30,US National,Season peak percentage,5.06094
2016-10-30,US National,Season peak week,2017-02-05
2016-10-30,US National,Season onset,2016-12-11
2016-11-06,US National,1 wk ahead,1.64639
2016-11-06,US National,2 wk ahead,1.91196
2016-11-06,US National,3 wk ahead,1.81129
2016-11-06,US National,4 wk ahead,1.91669
2016-11-06,US National,Season peak percentage,5.06094
2016-11-06,US National,Season peak week,2017-02-05
2016-11-06,US National,Season onset,2016-12-11
2016-11-13,US National,1 wk ahead,1.91196
2016-11-13,US National,2 wk ahead,1.81129
2016-11-13,US National,3 wk ahead,1.91669
2016-11-13,US National,4 wk ahead,2.20671
2016-11-13,US National,Season peak percentage,5.06094
2016-11-13,US National,Season peak week,2017-02-05
