timezero,unit,target,value
2017-07-23,US National,1 wk ahead,0.73102
2017-07-23,US National,2 wk ahead,0.688338
2017-07-23,US National,3 wk ahead,0.732049
2017-07-23,US National,4 wk ahead,0.911641
2017-07-23,US National,Season onset,2017-11-19
2017-07-30,US National,1 wk ahead,0.688338
2017-07-30,US National,2 wk ahead,0.732049
2017-07-30,US National,3 wk ahead,0.911641
2017-07-30,US National,4 wk ahead,1.02105
2017-07-30,US National,Season onset,2017-11-19
2017-08-06,US National,1 wk ahead,0.732049
2017-08-06,US National,2 wk ahead,0.911641
2017-08-06,US National,3 wk ahead,1.02105
2017-08-06,US National,4 wk ahead,1.09335
2017-08-06,US National,Season onset,2017-11-19
2017-08-13,US National,1 wk ahead,0.911641
2017-08-13,US National,2 wk ahead,1.02105
2017-08-13,US National,3 wk ahead,1.09335
2017-08-13,US National,4 wk ahead,1.09515
2017-08-13,US National,Season onset,2017-11-19
2017-08-20,US National,1 wk ahead,1.02105
2017-08-20,US National,2 wk ahead,1.09335
2017-08-20,US National,3 wk ahead,1.09515
2017-08-20,US National,4 wk ahead,1.09699
2017-08-20,US National,Season onset,2017-11-19
2017-08-27,US National,1 wk ahead,1.09335
2017-08-27,US National,2 wk ahead,1.09515
2017-08-27,US National,3 wk ahead,1.09699
2017-08-27,US National,4 wk ahead,1.18823
2017-08-27,US National,Season onset,2017-11-19
2017-09-03,US National,1 wk ahead,1.09515
2017-09-03,US National,2 wk ahead,1.09699
2017-09-03,US National,3 wk ahead,1.18823
2017-09-03,US National,4 wk ahead,1.2694
2017-09-03,US National,Season onset,2017-11-19
2017-09-10,US National,1 wk ahead,1.09699
2017-09-10,US National,2 wk ahead,1.18823
2017-09-10,US National,3 wk ahead,1.2694
2017-09-10,US National,4 wk ahead,1.30851
2017-09-10,US National,Season onset,2017-11-19
2017-09-17,US National,1 wk ahead,1.18823
2017-09-17,US National,2 wk ahead,1.2694
2017-09-17,US National,3 wk ahead,1.30851
2017-09-17,US National,4 wk ahead,1.34548
2017-09-17,US National,Season onset,2017-11-19
2017-09-24,US National,1 wk ahead,1.2694
2017-09-24,US National,2 wk ahead,1.30851
2017-09-24,US National,3 wk ahead,1.34548
2017-09-24,US National,4 wk ahead,1.5222
2017-09-24,US National,Season onset,2017-11-19
2017-10-01,US National,1 wk ahead,1.30851
2017-10-01,US National,2 wk ahead,1.34548
2017-10-01,US National,3 wk ahead,1.5222
2017-10-01,US National,4 wk ahead,1.75088
2017-10-01,US National,Season onset,2017-11-19
2017-10-08,US National,1 wk ahead,1.34548
2017-10-08,US National,2 wk ahead,1.5222
2017-10-08,US National,3 wk ahead,1.75088
2017-10-08,US National,4 wk ahead,1.8912
2017-10-08,US National,Season onset,2017-11-19
2017-10-15,US National,1 wk ahead,1.5222
2017-10-15,US National,2 wk ahead,1.75088
2017-10-15,US National,3 wk ahead,1.8912
2017-10-15,US National,4 wk ahead,2.06127
2017-10-15,US National,Season onset,2017-11-19
2017-10-22,US National,1 wk ahead,1.75088
2017-10-22,US National,2 wk ahead,1.8912
2017-10-22,US National,3 wk ahead,2.06127
2017-10-22,US National,4 wk ahead,2.28404
2017-10-22,US National,Season onset,2017-11-19
2017-10-29,US National,1 wk ahead,1.8912
2017-10-29,US National,2 wk ahead,2.06127
2017-10-29,US National,3 wk ahead,2.28404
2017-10-29,US National,4 wk ahead,2.29103
2017-10-29,US National,Season onset,2017-11-19
2017-11-05,US National,1 wk ahead,2.06127
2017-11-05,US National,2 wk ahead,2.28404
2017-11-05,US National,3 wk ahead,2.29103
2017-11-05,US National,4 wk ahead,2.58774
2017-11-05,US National,Season onset,2017-11-19
2017-11-12,US National,1 wk ahead,2.28404
2017-11-12,US National,2 wk ahead,2.29103
2017-11-12,US National,3 wk ahead,2.58774
2017-11-12,US National,4 wk ahead,3.37224
2017-11-12,US National,Season onset,2017-11-19
2017-11-19,US National,1 wk ahead,2.29103
2017-11-19,US National,2 wk ahead,2.58774
2017-11-19,US National,3 wk ahead,3.37224
2017-11-19,US National,4 wk ahead,4.74661
2017-11-19,US National,Season onset,2017-11-19
2017-11-26,US National,1 wk ahead,2.58774
2017-11-26,US National,2 wk ahead,3.37224
2017-11-26,US National,3 wk ahead,4.74661
